source_id,site_id,source_name,maintainer,source_url_or_stable_identifier,data_type,published_or_updated_at,last_verified_at,license_and_attribution,may_publicly_summarize,may_be_used_in_map_profile,usable_fields,limitations_and_open_questions,decision
profile-tourism-376540000a-000365,tourism-attraction-376540000a-000365,"景點－觀光資訊資料庫：石朗潛水區",交通部觀光署,https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip#AttractionID=Attraction_376540000A_000365,官方介紹／地理環境／活動背景,2026-06-23T17:13:21+08:00,2026-09-21,"政府資料開放授權條款第 1 版（OGL 1.0）；公開使用須顯名「交通部觀光署、景點－觀光資訊資料庫（觀光資料標準 V2.1）」並保留來源連結。媒體及另有聲明內容不在本次使用範圍。",yes,yes,"AttractionID、AttractionName、Description、WGS84 PositionLat／PositionLon、原始更新時間","僅可摘要原始文字直接支持的介紹與地理背景；不建立入口、深度、能見度、潮流、合法性、安全性或活動建議。",adopted
profile-eastcoast-376540000a-000365,tourism-attraction-376540000a-000365,水域遊憩（綠島潛點介紹）,交通部觀光署東部海岸國家風景區管理處,https://www.eastcoast-nsa.gov.tw/zh-tw/travel/waters/diving/,官方介紹／管理背景,not_stated,2026-09-21,"網站內容受著作權保護；依網站政府資料開放宣告，公開再利用範圍與第三方權利須逐項確認。此列僅保留外連，不作本草稿摘要依據。",no,no,"外部官方連結與管理背景查核","頁面含活動條件、操作與安全相關內容，均不納入 profile；需另行確認特定文字是否具可公開再利用授權。",link_only
profile-tourism-376540000a-000367,tourism-attraction-376540000a-000367,"景點－觀光資訊資料庫：綠島南寮漁港",交通部觀光署,https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip#AttractionID=Attraction_376540000A_000367,官方介紹／地理環境／活動背景,2026-06-23T16:26:30+08:00,2026-09-21,"政府資料開放授權條款第 1 版（OGL 1.0）；公開使用須顯名「交通部觀光署、景點－觀光資訊資料庫（觀光資料標準 V2.1）」並保留來源連結。媒體及另有聲明內容不在本次使用範圍。",yes,yes,"AttractionID、AttractionName、Description、WGS84 PositionLat／PositionLon、原始更新時間","原始介紹列舉的環境與活動文字沒有即時性；不得改寫為目前可見生物、活動條件或建議。",adopted
profile-tourism-376540000a-000478,tourism-attraction-376540000a-000478,"景點－觀光資訊資料庫：柴口浮潛區",交通部觀光署,https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip#AttractionID=Attraction_376540000A_000478,官方介紹／歷史背景／活動背景,2026-06-23T16:25:38+08:00,2026-09-21,"政府資料開放授權條款第 1 版（OGL 1.0）；公開使用須顯名「交通部觀光署、景點－觀光資訊資料庫（觀光資料標準 V2.1）」並保留來源連結。媒體及另有聲明內容不在本次使用範圍。",yes,yes,"AttractionID、AttractionName、Description、WGS84 PositionLat／PositionLon、原始更新時間","原始內容著重名稱沿革；未提供可直接公開摘要的環境特徵時必須標為資料不足。",adopted
profile-eastcoast-376540000a-000478,tourism-attraction-376540000a-000478,柴口浮潛區官方頁面,交通部觀光署東部海岸國家風景區管理處,https://www.eastcoast-nsa.gov.tw/greenisland/zh-tw/attractions/detail/167,官方介紹／地理環境,not_stated,2026-09-21,"網站內容受著作權保護；依網站政府資料開放宣告，公開再利用範圍與第三方權利須逐項確認。此列僅保留外連，不作本草稿摘要依據。",no,no,"外部官方連結與後續人工查核","不擷取頁面圖片、操作或活動條件；若未取得可再利用確認，不能成為地圖抽屜的介紹來源。",link_only
profile-tourism-a15010100h-000067,tourism-attraction-a15010100h-000067,"景點－觀光資訊資料庫：大白沙",交通部觀光署,https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip#AttractionID=Attraction_A15010100H_000067,官方介紹／地理環境／活動背景,2025-05-06T17:36:21+08:00,2026-09-21,"政府資料開放授權條款第 1 版（OGL 1.0）；公開使用須顯名「交通部觀光署、景點－觀光資訊資料庫（觀光資料標準 V2.1）」並保留來源連結。媒體及另有聲明內容不在本次使用範圍。",yes,yes,"AttractionID、AttractionName、Description、WGS84 PositionLat／PositionLon、原始更新時間","只摘要位置及組成描述；不得帶入深度、地形操作、現場條件或活動建議。",adopted
profile-eastcoast-a15010100h-000067,tourism-attraction-a15010100h-000067,水域遊憩（綠島潛點介紹）,交通部觀光署東部海岸國家風景區管理處,https://www.eastcoast-nsa.gov.tw/zh-tw/travel/waters/diving/,官方介紹／管理背景,not_stated,2026-09-21,"網站內容受著作權保護；依網站政府資料開放宣告，公開再利用範圍與第三方權利須逐項確認。此列僅保留外連，不作本草稿摘要依據。",no,no,"外部官方連結與管理背景查核","頁面含活動條件、操作與安全相關內容，均不納入 profile；需另行確認特定文字是否具可公開再利用授權。",link_only
profile-tourism-a15010200h-000004,tourism-attraction-a15010200h-000004,"景點－觀光資訊資料庫：險礁嶼",交通部觀光署,https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip#AttractionID=Attraction_A15010200H_000004,官方介紹／地理環境／活動背景,2023-10-30T15:40:08+08:00,2026-09-21,"政府資料開放授權條款第 1 版（OGL 1.0）；公開使用須顯名「交通部觀光署、景點－觀光資訊資料庫（觀光資料標準 V2.1）」並保留來源連結。媒體及另有聲明內容不在本次使用範圍。",yes,yes,"AttractionID、AttractionName、Description、WGS84 PositionLat／PositionLon、原始更新時間","原始介紹中涉及暗礁或海域風險的段落不摘要；不得將景點介紹轉為安全、合法性或活動結論。",adopted
profile-penghu-a15010200h-000004,tourism-attraction-a15010200h-000004,險礁嶼官方景點頁面,交通部觀光署澎湖國家風景區管理處,https://www.penghu-nsa.gov.tw/TravelInformationSceneryDetailC001200.aspx?Cond=75d13595-7c1f-41ea-84d5-caeaf9738594&Keyword=%E9%A2%A8%E6%AB%83%E6%B4%9E&Language=1028&SearchAdvanced=False&SortType=1,官方介紹／地理環境,not_stated,2026-09-21,"網站資料開放宣告指出網站內容受著作權保護；以管理處名義公開發表的著作在合理範圍利用須註明出處，其他權利仍須確認。此列保守僅供外連。",no,no,"外部官方連結與後續人工權利查核","本次不以此頁文字作公開摘要；不得擷取圖片、影片、地圖或將內容轉為活動／安全判定。",link_only
profile-goocean-ui-reference,all_five_sites,GoOcean 海洋遊憩風險資訊服務條款與資料操作說明,國家海洋研究院,https://goocean.namr.gov.tw/ServiceTerms,服務條款／UI 操作概念,2023-03-06,2026-09-21,"服務條款僅對國家海洋研究院具權利的資料提供再利用條件；特別聲明素材與第三方權利仍須另查，且潛點圖層沒有已確認的正式要素資料產品。",no,no,"僅可作為「地圖＋右側資訊抽屜」互動概念的非內容參考","不得擷取登入後資料、動態圖層、圖磚、截圖、標誌、圖示、隱藏 API、風險指數、預報數值或活動狀態；不作任何 profile 摘要依據。",link_only
