inventory_id,official_source_document,source_locator,activity_category,activity_name,zone_name,legal_spatial_definition,coordinates_present,geometry_format,crs_status,capacity_limit,permitted_time_slot,special_restrictions_and_prohibitions,usability_decision,why_not_a_dive_site,reviewed_at
ktnp-zone-001,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第一類活動：觀賞水底生物及景觀,浮潛,後壁湖港航道西側、出水口、眺石、南灣、白砂、船帆石沿海浮潛分區,後壁湖港航道西側、出水口、眺石、南灣、白砂及船帆石等處距岸200公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(中央氣象署發布之日出至日落時間),港區航道及墾管處警告標示禁止區域仍禁止；計畫分區含海域一般管制區、海域遊憩區,management_background_only,屬帶狀海域管理分區(距岸200m)，非單一潛點，涵蓋航道外圍與礁岩碎浪帶，無代表性點位坐標,2026-09-25T00:20:00+08:00
ktnp-zone-002,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第一類活動：觀賞水底生物及景觀,浮潛,後灣、萬里桐、合界、紅柴坑、小灣沿海浮潛分區,後灣、萬里桐、合界、紅柴坑與小灣等五處距岸200公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(中央氣象署發布之日出至日落時間),港區航道及墾管處警告標示禁止區域仍禁止；其他未公告海岸須經墾管處許可,management_background_only,屬大範圍岸際遊憩開放分區，無明確下水點或錨定浮球座標，不可將大分區視為潛點,2026-09-25T00:20:00+08:00
ktnp-zone-003,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第一類活動：觀賞水底生物及景觀,水肺潛水(岸潛),西海岸與南灣外圍日間岸潛分區(萬里桐、紅柴坑、合界、山海、出水口、後壁湖西側、眺石、船帆石),萬里桐、紅柴坑、合界、山海、出水口、後壁湖港航道西側、眺石及船帆石等處距岸200公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(中央氣象署發布之日出至日落時間),港區航道及墾管處警告標示禁止區域仍禁止；須配戴合規潛水旗標,management_background_only,屬沿岸200公尺之岸際管制範圍，非單點潛位坐標，不可將廣大水域邊界轉化為潛點,2026-09-25T00:20:00+08:00
ktnp-zone-004,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第一類活動：觀賞水底生物及景觀,水肺潛水(岸潛),夜間指定岸潛分區(出水口、萬里桐、後壁湖航道西側),出水口、萬里桐、後壁湖航道西側等3處距岸100公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,夜間至晚上22:00止(22:00後須專案提計畫申請許可),夜間岸潛須於指定區域；港區航道及警告標示禁止區仍禁止,management_background_only,屬時間性夜間管制區域邊界(距岸100m)，非水下礁體點位坐標,2026-09-25T00:20:00+08:00
ktnp-zone-005,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第一類活動：觀賞水底生物及景觀,自由潛水,沿海自由潛水岸潛分區(萬里桐、合界、紅柴坑、白砂、出水口、眺石、船帆石),萬里桐、合界、紅柴坑、白砂、出水口、眺石及船帆石等處距岸200公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(中央氣象署發布之日出至日落時間),帶客教練須具合格證明(1:4，配助教1:6)；每次活動地點應設置標位浮標；港區航道禁止,management_background_only,屬沿岸200公尺廣域活動規範，未提供具體下水坐標，浮標為活動者自設,2026-09-25T00:20:00+08:00
ktnp-zone-006,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第一類活動：觀賞水底生物及景觀,水肺潛水(船潛),公告船潛點01-山海赤筆仔礁,山海赤筆仔礁已錨定浮球半徑100公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(中央氣象署發布之日出至日落時間；夜間須專案申請),潛水船需繫繩於公告地點已錨定浮球，不可另行拋錨；船上懸掛潛水旗；港區航道禁止,management_background_only,官方僅以中文名稱列舉，未提供浮球代表點經緯度坐標或幾何數據，CRS不明，不可臆測補點,2026-09-25T00:20:00+08:00
ktnp-zone-007,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第一類活動：觀賞水底生物及景觀,水肺潛水(船潛),公告船潛點02-紅柴坑,紅柴坑已錨定浮球半徑100公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(日出至日落),繫繩於已錨定浮球，嚴禁拋錨；懸掛潛水旗,management_background_only,無官方坐標與CRS，僅為公告船潛管制點位名稱，不可自行推估經緯度,2026-09-25T00:20:00+08:00
ktnp-zone-008,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第一類活動：觀賞水底生物及景觀,水肺潛水(船潛),公告船潛點03-合界沈船,合界沈船已錨定浮球半徑100公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(日出至日落),繫繩於已錨定浮球，嚴禁拋錨；懸掛潛水旗,management_background_only,無官方坐標與CRS，僅為公告船潛管制點位名稱，不可自行推估經緯度,2026-09-25T00:20:00+08:00
ktnp-zone-009,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第一類活動：觀賞水底生物及景觀,水肺潛水(船潛),公告船潛點04-頂白砂,頂白砂已錨定浮球半徑100公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(日出至日落),繫繩於已錨定浮球，嚴禁拋錨；懸掛潛水旗,management_background_only,無官方坐標與CRS，僅為公告船潛管制點位名稱，不可自行推估經緯度,2026-09-25T00:20:00+08:00
ktnp-zone-010,內政部國家公園署墾丁國家公園管理處公告(114.09.25墾遊字第1141012510號)及水域遊憩活動管理方案(114年6月核定版),公告附表(A0002)及管理方案附件三活動項目明細表,第一類活動：觀賞水底生物及景觀,水肺潛水(船潛),公告船潛點05-南海洞,南海洞已錨定浮球半徑100公尺範圍內,False,none_text_and_sketch_only,blocked_no_coordinates_or_crs,不限,白天(日出至日落),繫繩於已錨定浮球，嚴禁拋錨；懸掛潛水旗,management_background_only,無官方坐標與CRS，僅為公告船潛管制點位名稱，不可自行推估經緯度,2026-09-25T00:20:00+08:00
