product_id,product_name,data_class,is_in_situ_observation,site_id,site_name,site_latitude,site_longitude,matched_location_id_or_grid,matched_location_name,matched_latitude,matched_longitude,spatial_match_method,distance_km,issue_time_utc8,forecast_valid_start_utc8,forecast_valid_end_utc8,time_step_hours,forecast_horizon_hours,available_variables,variable_units,missing_value_policy,data_freshness_sla,access_condition,applicability_decision,safety_disclaimer
M-B0078-001,海象數值模式預報資料-生活氣象-海水浴場、休閒漁港、海釣之波流模式預報資料,point_model_forecast,false,tourism-attraction-376540000a-000365,石朗潛水區,22.65577,121.47454,N01900,石朗海域,22.65,121.45,nearest_station_haversine,2.6,2026-09-25T12:00:00+08:00,2026-09-25T18:00:00+08:00,2026-09-28T15:00:00+08:00,3,72,"SignificantWaveHeight, WaveDirectionForecast, WavePeriod, OceanCurrentDirectionForecast, OceanCurrentSpeed","SignificantWaveHeight: m, WaveDirectionForecast: 16-azimuth, WavePeriod: s, OceanCurrentDirectionForecast: 16-azimuth, OceanCurrentSpeed: knot",空標籤或缺值略過,每12小時更新/逐3小時步長,CWA_API_KEY (File API / OGL 1.0),reference_background_only,數值模式萃取點非現地實測，嚴禁作為下水、浮潛或水肺潛水安全性判斷依據
M-B0078-001,海象數值模式預報資料-生活氣象-海水浴場、休閒漁港、海釣之波流模式預報資料,point_model_forecast,false,tourism-attraction-376540000a-000367,綠島南寮漁港,22.65791,121.47449,N01900,石朗海域,22.65,121.45,nearest_station_haversine,2.66,2026-09-25T12:00:00+08:00,2026-09-25T18:00:00+08:00,2026-09-28T15:00:00+08:00,3,72,"SignificantWaveHeight, WaveDirectionForecast, WavePeriod, OceanCurrentDirectionForecast, OceanCurrentSpeed","SignificantWaveHeight: m, WaveDirectionForecast: 16-azimuth, WavePeriod: s, OceanCurrentDirectionForecast: 16-azimuth, OceanCurrentSpeed: knot",空標籤或缺值略過,每12小時更新/逐3小時步長,CWA_API_KEY (File API / OGL 1.0),reference_background_only,數值模式萃取點非現地實測，嚴禁作為下水、浮潛或水肺潛水安全性判斷依據
M-B0078-001,海象數值模式預報資料-生活氣象-海水浴場、休閒漁港、海釣之波流模式預報資料,point_model_forecast,false,tourism-attraction-376540000a-000478,柴口浮潛區,22.67739,121.48268,N01600,柴口海域,22.7,121.475,nearest_station_haversine,2.63,2026-09-25T12:00:00+08:00,2026-09-25T18:00:00+08:00,2026-09-28T15:00:00+08:00,3,72,"SignificantWaveHeight, WaveDirectionForecast, WavePeriod, OceanCurrentDirectionForecast, OceanCurrentSpeed","SignificantWaveHeight: m, WaveDirectionForecast: 16-azimuth, WavePeriod: s, OceanCurrentDirectionForecast: 16-azimuth, OceanCurrentSpeed: knot",空標籤或缺值略過,每12小時更新/逐3小時步長,CWA_API_KEY (File API / OGL 1.0),reference_background_only,數值模式萃取點非現地實測，嚴禁作為下水、浮潛或水肺潛水安全性判斷依據
M-B0078-001,海象數值模式預報資料-生活氣象-海水浴場、休閒漁港、海釣之波流模式預報資料,point_model_forecast,false,tourism-attraction-a15010100h-000067,大白沙,22.63722,121.49385,N01800,龜灣海域,22.625,121.475,nearest_station_haversine,2.36,2026-09-25T12:00:00+08:00,2026-09-25T18:00:00+08:00,2026-09-28T15:00:00+08:00,3,72,"SignificantWaveHeight, WaveDirectionForecast, WavePeriod, OceanCurrentDirectionForecast, OceanCurrentSpeed","SignificantWaveHeight: m, WaveDirectionForecast: 16-azimuth, WavePeriod: s, OceanCurrentDirectionForecast: 16-azimuth, OceanCurrentSpeed: knot",空標籤或缺值略過,每12小時更新/逐3小時步長,CWA_API_KEY (File API / OGL 1.0),reference_background_only,數值模式萃取點非現地實測，嚴禁作為下水、浮潛或水肺潛水安全性判斷依據
M-B0078-001,海象數值模式預報資料-生活氣象-海水浴場、休閒漁港、海釣之波流模式預報資料,point_model_forecast,false,tourism-attraction-a15010200h-000004,險礁嶼,23.7118,119.608,I01700,赤崁,23.7,119.62,nearest_station_haversine,1.79,2026-09-25T12:00:00+08:00,2026-09-25T18:00:00+08:00,2026-09-28T15:00:00+08:00,3,72,"SignificantWaveHeight, WaveDirectionForecast, WavePeriod, OceanCurrentDirectionForecast, OceanCurrentSpeed","SignificantWaveHeight: m, WaveDirectionForecast: 16-azimuth, WavePeriod: s, OceanCurrentDirectionForecast: 16-azimuth, OceanCurrentSpeed: knot",空標籤或缺值略過,每12小時更新/逐3小時步長,CWA_API_KEY (File API / OGL 1.0),reference_background_only,數值模式萃取點非現地實測，嚴禁作為下水、浮潛或水肺潛水安全性判斷依據
M-B0071-000,海流模式-海流數值模式預報資料-第000~096小時,gridded_model_forecast,false,tourism-attraction-376540000a-000365,石朗潛水區,22.65577,121.47454,grid_22.7_121.5,"模式格點(22.7N, 121.5E)",22.7,121.5,nearest_grid_cell_center,5.57,2026-09-25T08:00:00+08:00,2026-09-25T08:00:00+08:00,2026-09-29T08:00:00+08:00,1,96,"SeaSurfaceTemperature, CurrentSpeed, CurrentDirection, UVelocity, VVelocity, SeaSurfaceHeight, SeaSurfaceSalinity","SeaSurfaceTemperature: degC, CurrentSpeed: m/s, CurrentDirection: degree, UVelocity: m/s, VVelocity: m/s, SeaSurfaceHeight: m, SeaSurfaceSalinity: PSU",NetCDF _FillValue(1e+20)或陸地遮罩NaN,每日更新1次(00Z)/逐1小時步長,CWA_API_KEY (File API XML中繼+S3 NetCDF / OGL 1.0),regional_flow_reference_only,10公里網格數值海流無法反映沿岸流與暗流，嚴禁作為下水判定依據
M-B0071-000,海流模式-海流數值模式預報資料-第000~096小時,gridded_model_forecast,false,tourism-attraction-376540000a-000367,綠島南寮漁港,22.65791,121.47449,grid_22.7_121.5,"模式格點(22.7N, 121.5E)",22.7,121.5,nearest_grid_cell_center,5.36,2026-09-25T08:00:00+08:00,2026-09-25T08:00:00+08:00,2026-09-29T08:00:00+08:00,1,96,"SeaSurfaceTemperature, CurrentSpeed, CurrentDirection, UVelocity, VVelocity, SeaSurfaceHeight, SeaSurfaceSalinity","SeaSurfaceTemperature: degC, CurrentSpeed: m/s, CurrentDirection: degree, UVelocity: m/s, VVelocity: m/s, SeaSurfaceHeight: m, SeaSurfaceSalinity: PSU",NetCDF _FillValue(1e+20)或陸地遮罩NaN,每日更新1次(00Z)/逐1小時步長,CWA_API_KEY (File API XML中繼+S3 NetCDF / OGL 1.0),regional_flow_reference_only,10公里網格數值海流無法反映沿岸流與暗流，嚴禁作為下水判定依據
M-B0071-000,海流模式-海流數值模式預報資料-第000~096小時,gridded_model_forecast,false,tourism-attraction-376540000a-000478,柴口浮潛區,22.67739,121.48268,grid_22.7_121.5,"模式格點(22.7N, 121.5E)",22.7,121.5,nearest_grid_cell_center,3.08,2026-09-25T08:00:00+08:00,2026-09-25T08:00:00+08:00,2026-09-29T08:00:00+08:00,1,96,"SeaSurfaceTemperature, CurrentSpeed, CurrentDirection, UVelocity, VVelocity, SeaSurfaceHeight, SeaSurfaceSalinity","SeaSurfaceTemperature: degC, CurrentSpeed: m/s, CurrentDirection: degree, UVelocity: m/s, VVelocity: m/s, SeaSurfaceHeight: m, SeaSurfaceSalinity: PSU",NetCDF _FillValue(1e+20)或陸地遮罩NaN,每日更新1次(00Z)/逐1小時步長,CWA_API_KEY (File API XML中繼+S3 NetCDF / OGL 1.0),regional_flow_reference_only,10公里網格數值海流無法反映沿岸流與暗流，嚴禁作為下水判定依據
M-B0071-000,海流模式-海流數值模式預報資料-第000~096小時,gridded_model_forecast,false,tourism-attraction-a15010100h-000067,大白沙,22.63722,121.49385,grid_22.6_121.5,"模式格點(22.6N, 121.5E)",22.6,121.5,nearest_grid_cell_center,4.19,2026-09-25T08:00:00+08:00,2026-09-25T08:00:00+08:00,2026-09-29T08:00:00+08:00,1,96,"SeaSurfaceTemperature, CurrentSpeed, CurrentDirection, UVelocity, VVelocity, SeaSurfaceHeight, SeaSurfaceSalinity","SeaSurfaceTemperature: degC, CurrentSpeed: m/s, CurrentDirection: degree, UVelocity: m/s, VVelocity: m/s, SeaSurfaceHeight: m, SeaSurfaceSalinity: PSU",NetCDF _FillValue(1e+20)或陸地遮罩NaN,每日更新1次(00Z)/逐1小時步長,CWA_API_KEY (File API XML中繼+S3 NetCDF / OGL 1.0),regional_flow_reference_only,10公里網格數值海流無法反映沿岸流與暗流，嚴禁作為下水判定依據
M-B0071-000,海流模式-海流數值模式預報資料-第000~096小時,gridded_model_forecast,false,tourism-attraction-a15010200h-000004,險礁嶼,23.7118,119.608,grid_23.7_119.6,"模式格點(23.7N, 119.6E)",23.7,119.6,nearest_grid_cell_center,1.54,2026-09-25T08:00:00+08:00,2026-09-25T08:00:00+08:00,2026-09-29T08:00:00+08:00,1,96,"SeaSurfaceTemperature, CurrentSpeed, CurrentDirection, UVelocity, VVelocity, SeaSurfaceHeight, SeaSurfaceSalinity","SeaSurfaceTemperature: degC, CurrentSpeed: m/s, CurrentDirection: degree, UVelocity: m/s, VVelocity: m/s, SeaSurfaceHeight: m, SeaSurfaceSalinity: PSU",NetCDF _FillValue(1e+20)或陸地遮罩NaN,每日更新1次(00Z)/逐1小時步長,CWA_API_KEY (File API XML中繼+S3 NetCDF / OGL 1.0),regional_flow_reference_only,10公里網格數值海流無法反映沿岸流與暗流，嚴禁作為下水判定依據
