source_id,provider,dataset_or_source_name,official_url,region_coverage,spatial_coverage_desc,defines_dive_or_snorkel_explicitly,same_record_name_and_coords,stable_identifier,update_frequency_or_status,last_checked_date,license_or_terms,license_evidence_url,access_method,known_limitations,decision,follow_up_required
cand-motc-tourism-attractions,交通部觀光署,景點－觀光資訊資料庫（觀光資料標準 V2.1 JSON/XML）,https://data.gov.tw/dataset/7777,全國,全臺各縣市與離島具空間座標之觀光景點開放資料（涵蓋東北角、北海岸、花東、澎湖、綠島、墾丁等）,yes,yes,yes_attraction_id,每日更新（現行有效）,2026-09-23,政府資料開放授權條款第 1 版 (OGL 1.0),https://data.gov.tw/license,open_data_download,資料集主體為一般觀光景點，非潛點專門名冊；不可全量匯入，必須逐筆過濾直接明確定義潛水/浮潛活動之紀錄,candidate_for_manual_verification,對符合關鍵字之景點進行單筆人工審核（如北部潮境、東北角龍洞、墾丁各點、澎湖與綠島/蘭嶼景點）
cand-keelung-tourism-attractions,基隆市政府觀光及城市行銷處,基隆市觀光景點資料集,https://data.gov.tw/dataset/26359,北部,基隆市全區（包含潮境公園、望海巷海灣、和平島地質公園等海域景點）,yes,yes,yes_id,不定期更新（現行有效）,2026-09-23,政府資料開放授權條款第 1 版 (OGL 1.0),https://data.gov.tw/license,open_data_api,涵蓋一般市區景點，僅潮境保育區與望海巷海灣具浮潛活動描述，需人工過濾,candidate_for_manual_verification,提取望海巷/潮境相關紀錄，核對名稱是否與觀光署主資料庫重複
cand-ntpc-tourism-attractions,新北市政府觀光旅遊局,新北市觀光景點清冊,https://data.gov.tw/dataset/25732,北部 / 東北部,新北市全境（含北海岸三芝/石門/金山/萬里與東北角瑞芳/貢寮）,yes,yes,yes_id,每月更新（現行有效）,2026-09-23,政府資料開放授權條款第 1 版 (OGL 1.0),https://data.gov.tw/license,open_data_download,龍洞灣、四季灣等常被歸類為風景區或海岸遊憩區，需確認單筆是否直接定義潛點而非水上活動統稱,candidate_for_manual_verification,人工比對龍洞、鼻頭角、馬崗之單筆描述
cand-taitung-tourism-attractions,臺東縣政府交通及觀光發展處,臺東觀光景點清冊,https://data.gov.tw/dataset/37654,東部 / 離島-綠島蘭嶼,臺東縣全境（含臺東本島海岸、綠島鄉及蘭嶼鄉）,yes,yes,yes_id,每季更新（現行有效）,2026-09-23,政府資料開放授權條款第 1 版 (OGL 1.0),https://data.gov.tw/license,open_data_download,與觀光署中央資料庫高度同源（前 4 筆綠島潛點即源自臺東編號），需避免跨資料庫重複建立代表點,candidate_for_manual_verification,建立跨資料庫識別碼對照表，避免與已匯入之綠島景點重複
cand-penghu-tourism-attractions,澎湖縣政府旅遊處,澎湖縣景點開放資料,https://data.gov.tw/dataset/26305,離島-澎湖,澎湖縣全境（含馬公、湖西、白沙、西嶼、望安、七美）,yes,yes,yes_id,半年更新（現行有效）,2026-09-23,政府資料開放授權條款第 1 版 (OGL 1.0),https://data.gov.tw/license,open_data_download,許多沙灘景點（如隘門）為綜合遊憩區，僅鎖港海底郵筒、險礁嶼、七美月鯉灣等有潛水/浮潛明確記載,candidate_for_manual_verification,抽樣核驗鎖港、七美月鯉灣等單筆紀錄
cand-namr-goocean-dive-layer,國家海洋研究院 (NAMR),GoOcean 海洋遊憩風險資訊平台－潛點圖層,https://goocean.namr.gov.tw/,全國,臺灣本島與離島沿海視覺化潛點標記,yes,unclear,no,平台內部維護（未公開圖層版本）,2026-09-23,服務條款（非商業再利用，第三方權利保留；無正式開放資料授權）,https://goocean.namr.gov.tw/ServiceTerms,web_portal,未公開要素匯出服務；底層第三方來源與授權混雜；禁止呼叫未公開端點或爬取圖磚；僅可作人工線索查找,pending_review,待向 NAMR 洽詢正式開放資料產品或圖資授權服務
cand-ktnp-water-recreation-plan,內政部國家公園署墾丁國家公園管理處,墾丁國家公園水域遊憩活動分區管理方案公告,https://www.ktnp.gov.tw/cp.aspx?n=FA9BBE6DDF732116,南部,墾丁國家公園海域（後壁湖、萬里桐、船帆石、小灣、南灣等）,yes,no,yes_uri,現行公告（114 年 6 月核定版，114-08-20 公告）,2026-09-23,政府機關公告（未明定 OGL 開放資料授權）,https://www.ktnp.gov.tw/,pdf_notice,為行政管制分區與海域活動邊界，非開放資料單筆潛點名冊；不得以分區中心點推估為潛點坐標,pending_review,向墾管處洽詢水域活動分區之 GIS 向量圖資是否能以 OGL 條款提供開放下載
cand-mnp-south-penghu-plan,內政部國家公園署海洋國家公園管理處,澎湖南方四島國家公園海域遊憩活動管理措施,https://www.marine.gov.tw/,離島-澎湖,澎湖南方四島（東吉嶼、西吉嶼、東嶼坪嶼、西嶼坪嶼及其周邊海域）,yes,no,yes_uri,現行公告,2026-09-23,官方公告（未明示 OGL 1.0 再利用條款）,https://www.marine.gov.tw/,pdf_notice,管制分區非休閒潛點名錄；不能以多邊形拐點直接當作潛點代表點,pending_review,待確認是否有公布休閒遊憩點位之圖資服務
cand-oac-ocean-recreation-platform,海洋委員會 / 農業部漁業署,海域遊憩活動一站式服務平台,https://ocean.gov.tw/,全國,全臺沿海各縣市主管機關之海域遊憩活動禁限海域與法規彙整,yes,no,yes_uri,持續更新,2026-09-23,政府網站（授權範圍未明確標示 OGL 1.0）,https://ocean.gov.tw/,web_portal,平台核心為法規公告與管轄權機關查詢，非空間化潛點清冊,pending_review,查詢是否有與海保署合作之潛點專案開放資料
cand-necoast-water-recreation-notices,交通部觀光署東北角及宜蘭海岸國家風景區管理處,東北角海域遊憩活動管理專區公告,https://www.necoast-nsa.gov.tw/,東北部,新北市瑞芳區、貢寮區及宜蘭縣沿海特定水域,yes,no,yes_uri,現行公告,2026-09-23,官方公告（無單獨開放資料條款）,https://www.necoast-nsa.gov.tw/,web_portal,龍洞水域涵蓋一號至四號潛點等多個現地習慣點位，官方公告僅劃定整體灣澳水域範圍,pending_review,待確認風管處是否具備單一潛點（如龍洞灣水下岩礁）的點位圖層
cand-yilan-water-recreation-notices,宜蘭縣政府,宜蘭縣水域遊憩活動限制與禁止公告,https://www.e-land.gov.tw/,東北部,宜蘭縣烏石港、豆腐岬、內埤海灘、粉鳥林海域,yes,no,yes_uri,現行公告,2026-09-23,官方公告,https://www.e-land.gov.tw/,pdf_notice,屬於安全管制公告，豆腐岬水下潛點仍須依賴觀光署景點資料庫或實體調查核驗,pending_review,待向宜蘭縣府工旅處洽詢是否有空間化名冊
cand-pingtung-water-recreation-notices,屏東縣政府交旅處 / 琉球鄉公所,屏東縣琉球水域遊憩與潮間帶管理措施,https://www.pthg.gov.tw/,南部,小琉球全島沿海（美人洞、花瓶岩、中澳、杉福、厚石裙礁）,yes,no,yes_uri,現行公告,2026-09-23,官方公告,https://www.pthg.gov.tw/,pdf_notice,小琉球潛點名錄目前主要寄生於觀光署景點開放資料，縣府無獨立 point 清冊,pending_review,評估小琉球鄉公所與大鵬灣風管處合作之景點資料庫
cand-hualien-tourism-attractions,花蓮縣政府觀光處,花蓮縣觀光景點開放資料,https://data.gov.tw/dataset/26306,東部,花蓮縣沿海（石梯坪、磯崎、清水斷崖）,partial,yes,yes_id,半年更新,2026-09-23,政府資料開放授權條款第 1 版 (OGL 1.0),https://data.gov.tw/license,open_data_download,花蓮沿岸以斷崖、深水與湧浪為主，常規浮潛/潛水點極少，多為一般風景區描述,pending_review,逐筆檢查石梯坪記錄是否直接指稱為浮潛地點
cand-central-southwest-local-gov,桃竹苗中彰雲嘉南高各地方政府,中部與西南部各縣市開放資料平臺,https://data.gov.tw/,中部 / 西南部,桃園市、新竹縣市、苗栗縣、臺中市、彰化縣、雲林縣、嘉義縣、臺南市、高雄市沿海,no,no,no,不適用,2026-09-23,不適用,https://data.gov.tw/,unknown,中部與西南部沿海以沙質海岸、泥灘地、濕地及商港為主，無天然珊瑚礁，官方無潛點名錄，屬實質缺口,pending_review,標記為地理來源缺口；後續若有高雄柴山水域專案資料再行評估
cand-kinmen-matsu-local-gov,金門縣政府 / 連江縣政府,金門與連江觀光開放資料平臺,https://data.gov.tw/,離島-金門馬祖,金門縣與連江縣（馬祖）沿海,no,no,no,不適用,2026-09-23,不適用,https://data.gov.tw/,unknown,水質泥濁、強潮差、水流湍急且近軍事管轄，無常規休閒浮潛與潛水活動，官方無資料，屬實質缺口,pending_review,標記為地理來源缺口
cand-oca-fishing-points,海洋委員會海洋保育署 / 農業部漁業署,全台開放釣點位置（KML / 開放資料）,https://data.gov.tw/dataset/131011,全國,全臺沿岸友善釣魚點位,no,yes,yes_id,每年更新,2026-09-23,政府資料開放授權條款第 1 版 (OGL 1.0),https://data.gov.tw/license,open_data_download,釣點與潛水活動本質不同，釣魚點設於堤防或礁岩外圍，常有釣鉤與沈線，存在嚴重安全衝突；嚴禁將釣點推定或升格為潛點,excluded,無（依契約排除）
