review_id,source_row_number,original_id,original_name,raw_px,raw_py,crs_status,raw_description,raw_toldescribe_excerpt,keyword_matched,direct_dive_or_snorkel_definition,review_decision,exclusion_or_blocked_reason,reviewed_at
ntpc-rev-001,147,C1_382000000A_109644,東北角暨宜蘭海岸國家風景區,121.94255,25.01718,unconfirmed_not_documented,灣岬羅列，奇岩聳崖、海洋生態，育出淳樸的人文史蹟,"東北角暨宜蘭海岸風景特定區位於臺灣東北隅，北起新北市瑞芳區南雅里，南至宜蘭縣蘇澳鎮內埤海灘南方岬角，海岸線全長102.5公里，海、陸域總面積(含龜山島)共17,421公頃。東北角依山傍海，灣岬羅列，有嶙峋的奇岩聳崖、巨觀的海蝕地形、細柔的金色沙灘，以及繽紛的海洋生態，並且孕育出淳樸的人文史蹟，是一處兼具大自然教室知性功...","潛水, 海水浴場",no,excluded,general_area_activity_enumeration_not_dive_site; 景點代表全區102.5公里風景區(福隆處本部地址)，潛水僅為季節性水域遊憩活動泛稱列舉，非點位潛點定義；且官方未載明CRS,2026-09-24
ntpc-rev-002,193,C1_382000000A_109680,白沙灣海水浴場,121.51718,25.28418,unconfirmed_not_documented,綿延的貝殼白沙，在碧海藍天的映照下，令人心曠神怡,沿著北部濱海公路兜風，一定會發現這塊適合賞海景、吹海風的白色沙灘，綿延一公里的貝殼白沙，在碧海藍天的映照下，令人心曠神怡。自日治時代起就有「臺灣鎌倉」美稱的白沙灣海水浴場，是由富貴角及麟山鼻合抱而成的半月形天然海灣，向來以「沙白水清」聞名。來到這裡的遊客，除了享受踏在貝殼沙上腳底的細緻感受，還有各式各樣的水上活動可以參...,"潛水, 珊瑚, 海水浴場",no,excluded,bathing_beach_activity_enumeration_not_dive_site; 白沙灣海水浴場為戲水海灘，潛水僅為水上活動列舉；同觀光署Attraction_382000000A_109680前期審核排除結論；且官方未載明CRS,2026-09-24
ntpc-rev-003,218,C1_382000000A_403324,和美漁港,121.91407,25.07912,unconfirmed_not_documented,和美漁港位於新北市東北角三貂角附近，此處海岸線變化比較單純，由於海岸的下沈和不等量的抬升，再加上東北季風之影響，此處波浪形成海蝕作用，故海蝕崖到處可見。從金山到三貂角海岸，其地層走向與海岸呈直交形式，受海水侵蝕作用相當明顯，岩石較軟處被侵蝕造成海灣，易積沙而成為沙灘，岩石堅硬處則突出海面形成海岬；海岬與海灣等地形重複排列，為全台最富變化之岬灣海岸。,和美漁港位於新北市東北角三貂角附近，此處海岸線變化比較單純，由於海岸的下沈和不等量的抬升，再加上東北季風之影響，此處波浪形成海蝕作用，故海蝕崖到處可見。從金山到三貂角海岸，其地層走向與海岸呈直交形式，受海水侵蝕作用相當明顯，岩石較軟處被侵蝕造成海灣，易積沙而成為沙灘，岩石堅硬處則突出海面形成海岬；海岬與海灣等地形重複排...,"潛水, 和美港",no,excluded,address_landmark_reference_not_dive_site; 僅地址欄出現「和美港潛水訓練中心對面」之地標參照，景點本體為和美漁港，內文無潛點定義；漁港非休閒潛點；且官方未載明CRS,2026-09-24
ntpc-rev-004,221,C1_382000000A_110915,龍洞四季灣,121.91819,25.10192,unconfirmed_not_documented,飽覽東北角龍洞灣岬的絕佳美景，悠遊於湛藍世界,龍洞四季灣在一年四季都有不同的度假氛圍和主題，露天海水游泳池則是由天然海蝕平台改建而成，開放時間為5月中旬至9月底，可享受海天環抱的樂趣，並體驗與海洋生物共遊的樂趣。春天可遠眺海中鯨豚遨遊，夏天可體驗清涼泳池與出海船潛，秋天可在周圍步道進行漫步知性之旅，冬天則可泡個暖心海水湯。而這裡還有一個頗受推崇的特色，就是提供了寵...,"潛水, 龍洞, 四季灣",partial,blocked_coordinate_reference,blocked_coordinate_reference_and_resort_facility_boat_dive; 官方欄位說明未標載CRS空間參考系統(Px/Py未確認)，依規約不得假設WGS84；且內文為休閒渡假園區設施與出海船潛描述，非現地岸潛/浮潛點定義；資料為106年歷史版本,2026-09-24
ntpc-rev-005,84,C1_382000000A_109647,鹽寮海濱公園(藍灣海濱休憩園區),121.92645,25.04124,unconfirmed_not_documented,綿延不絕的金黃沙灘，佔地廣闊的海濱公園,位在新北市貢寮區的鹽寮海濱公園(藍灣海濱休憩園區）佔地80公頃，是東北角幅員最廣的遊憩景點，綿延3公里迄於福隆的金黃海岸亦冠絕全臺，適宜從事游泳、沙雕、沙灘排球、灘釣等多樣化的遊憩活動。鹽寮曾為日本殖民臺灣時登陸之首站，海灘旁建有高 8.8公尺之「鹽寮抗日紀念碑」，以憑弔昔時英勇抵抗日軍登陸的義士先烈，令人望而感慨。區...,"龍洞, 海濱公園",no,excluded,general_park_scenery_not_dive_site; 鹽寮海濱公園為海岸休憩園區與沙灘景觀，無浮潛/潛水活動地點定義；且官方未載明CRS,2026-09-24
ntpc-rev-006,93,C1_382000000A_109678,八里水上運動中心,121.42194,25.16306,unconfirmed_not_documented,專為水上活動打造的河岸碼頭，安全安心乘風破浪,八里水上運動中心的前身為八里風帆碼頭，是國內第一座專為帆船運動量身打造的河岸碼頭，有專業帆船教練帶領，在安全無虞的保護措施下，歡迎民眾來乘風破浪！在河上欣賞美景，享受被風帶著走的航行樂趣。除了帆船還有風浪板、獨木舟、SUP等多項水域活動可體驗或進一步學習的學習班。到八里左岸看到亮眼的黃色貨櫃就是八里水上運動中心！很適合...,水上運動,no,excluded,water_sports_center_not_dive_site; 八里水上運動中心主要為風帆、獨木舟、SUP基地，無潛水或浮潛地點定義；且官方未載明CRS,2026-09-24
ntpc-rev-007,140,C1_382000000A_112163,燭臺雙嶼,121.6545,25.23284,unconfirmed_not_documented,傳說「夫妻石」的淒美故事，為大自然的奧妙增添想像,燭臺雙嶼高約60公尺，有著淒美「夫妻石」的傳說故事流傳著，這裡原本是金山岬的一部分，後因板塊運動形成橫直交錯節理的岩石，再加上海水及風不斷地侵蝕結果，使其與岬角分開，小小的海島經過長時間的海浪侵蝕，下方的海蝕洞逐漸貫穿成海岬，形成類似石門的海拱，後來海拱頂部崩塌，形成兩座海石柱形的顯礁，石柱岩基相連，水面上分歧為雙嶼，...,海濱公園,no,excluded,geological_landmark_not_dive_site; 燭臺雙嶼為金山外海地質海蝕岩柱景觀，非休閒潛水地點；且官方未載明CRS,2026-09-24
ntpc-rev-008,202,C1_382000000A_109679,福隆海水浴場,121.94421,25.02167,unconfirmed_not_documented,遊客最愛水上活動勝地，沙雕藝術與音樂祭極受歡迎,福隆貢寮一帶的海岸線佈滿了細軟金黃的海砂，優美的弧型海灘，配上藍天碧海，讓福隆博得黃金海岸的美譽，雙溪河在此入海，形成內河、外海的雙重景觀，彎月型的彩虹橋連結兩處，內河河面寬廣、水流平穩，適合從事風帆、獨木舟、拖曳傘等活動，外海的海水浴場寬約60公尺，長約3000公尺，可從事游泳、戲水、灘地活動等，絕對是夏日玩水的最佳...,海水浴場,no,excluded,bathing_beach_not_dive_site; 福隆海水浴場為沙灘戲水與風帆衝浪區，無浮潛/潛水地點定義；且官方未載明CRS,2026-09-24
ntpc-rev-009,219,C1_382000000A_112147,福隆遊客服務中心,121.94255,25.01718,unconfirmed_not_documented,福隆遊客中心緊臨福隆海水浴場，主要提供東北角海岸的自然生態、人文史蹟、旅遊景點等各種資訊的展示及解說。,福隆遊客中心緊臨福隆海水浴場，主要提供東北角海岸的自然生態、人文史蹟、旅遊景點等各種資訊的展示及解說。其中設有簡報室、遊憩活動展示區、海漂流木雕刻創作展示區、自然生態、人文史蹟以及藝文個展區。遊憩活動展示區為介紹陸域、海域、空域的遊憩活動，更設有騎乘自行車、登山健行及滑翔翼等活動體驗區，虛擬實境讓遊客實地暢遊東北角。其...,海水浴場,no,excluded,visitor_center_not_dive_site; 福隆遊客服務中心為陸域服務設施，非潛點；且官方未載明CRS,2026-09-24
ntpc-rev-010,223,C1_382000000A_109631,淺水灣海濱公園,121.46991,25.25147,unconfirmed_not_documented,兼具亮白沙灘與藻礁的美麗海灣,三芝區淺水灣是北臺灣著名的景點，擁有彎月形沙灘的海濱美景，海岸線具有岩岸與沙灣的特質，有亮白沙岸及覆滿綠藻的藻礁海岸地形。海岸不遠處還有一片礁石區，近年來吸引眾多愛好衝浪的人士到淺水灣來一展身手。隨著淺水灣公園竣工啟用，濱海步道規劃得更趨完善，沿途修葺木製棧道、觀海平臺等，提供民眾更舒適、安全的親水環境，可聽濤、賞景，...,海濱公園,no,excluded,beach_park_not_dive_site; 淺水灣海濱公園為沙灘遊憩步道公園，「淺水」非「潛水」，無潛點定義；且官方未載明CRS,2026-09-24
