review_id,source_row_number,original_id,original_name,county,township,raw_position_lat,raw_position_lon,crs_status,raw_description_excerpt,source_locator,keyword_matched,direct_dive_or_snorkel_definition,review_decision,exclusion_reason,reviewed_at
pt-tour-rev-001,14,Attraction_345040000G_000014,墾丁國家森林遊樂區,屏東縣,恆春鎮,21.958724278213854,120.81203853828217,confirmed_wgs84,墾丁國家森林遊樂區原本是許多石珊瑚蟲、石灰藻類、有孔蟲及貝殼聚生的海洋花園，因為50萬年前地球的板塊運動，成為了一種特殊的森林生態系─高位珊瑚礁林，兼具豐富生態、季風雨林、石灰岩地形，為遊客提供了不一樣的墾丁遊憩選擇。  這裡距離墾丁大街只...,AttractionList.json[AttractionID=Attraction_345040000G_000014],none,False,excluded,terrestrial_park_or_trail: 實體為陸域森林遊樂區、共融遊戲場或散步步道，無水域潛水活動。,2026-09-24T23:55:00+08:00
pt-tour-rev-002,15,Attraction_345040000G_000015,雙流國家森林遊樂區,屏東縣,恆春鎮,22.217671437738247,120.79586524766609,confirmed_wgs84,來到雙流國家森林遊樂區，您可以欣賞一樹成林的白榕、徜徉在美麗的人造林內、登上帽子山遠眺，又或者沿著楓港溪上溯，抵達曾被票選為台灣第二美瀑的雙流瀑布，並擁有豐富的負離子及清新的空氣，讓遊客感受不一樣的恆春半島風情。  這裡是屏東縣獅子鄉，距離...,AttractionList.json[AttractionID=Attraction_345040000G_000015],none,False,excluded,terrestrial_park_or_trail: 實體為陸域森林遊樂區、共融遊戲場或散步步道，無水域潛水活動。,2026-09-24T23:55:00+08:00
pt-tour-rev-003,1914,Attraction_376500000A_000036,歷史建築貞愛親王殿下御上陸紀念之碑,屏東縣,枋寮鄉,23.37807,120.1569,confirmed_wgs84,本紀念碑見證清日所簽訂的馬關條約—割讓台灣及澎湖給日本，後由日本貞愛親王率艦自布袋口登陸，具有相當的歷史意義，因此將本紀念碑登錄為歷史建築。西元1895年4月17日，清日簽訂馬關條約，清廷割讓台灣及澎湖給日本。該條約簽訂後，日本於接收台灣初...,AttractionList.json[AttractionID=Attraction_376500000A_000036],none,False,excluded,terrestrial_or_cultural_facility: 實體為遊客中心、海鮮街、紀念碑、展館或陸域觀光設施，無潛水活動定義。,2026-09-24T23:55:00+08:00
pt-tour-rev-004,1960,Attraction_376530000A_000002,屏東縣民公園,屏東縣,車城鄉,22.65739,120.4961,confirmed_wgs84,1909年屏東糖廠設廠營運，帶動殺蛇溪北岸土地產業啟動，經縣府打造，將部分台糖園區土地更新為「台糖縣民公園」，並於107年10月15日開放9公頃土地予民眾使用，園區有紙漿廠的古蹟、趣味的特色遊戲場、糖業年輪水景、大樹廣場以及大草原等休憩空間...,AttractionList.json[AttractionID=Attraction_376530000A_000002],none,False,excluded,terrestrial_park_or_trail: 實體為陸域森林遊樂區、共融遊戲場或散步步道，無水域潛水活動。,2026-09-24T23:55:00+08:00
pt-tour-rev-005,1976,Attraction_376530000A_000018,屏東總圖共融遊戲場,屏東縣,恆春鎮,22.68341,120.50414,confirmed_wgs84,專為2-8歲幼童設計，以色彩繽紛的音樂遊具為主題，只要跳一跳、轉一轉，恆春民謠、國臺及外語的兒歌音符，便伴隨潺潺萬年溪水流瀉而出。中央的大擺盪最受歡迎，小朋友一定不能錯過唷！,AttractionList.json[AttractionID=Attraction_376530000A_000018],none,False,excluded,terrestrial_park_or_trail: 實體為陸域森林遊樂區、共融遊戲場或散步步道，無水域潛水活動。,2026-09-24T23:55:00+08:00
pt-tour-rev-006,4501,Attraction_395000000A_001331,崁頂福安宮,屏東縣,車城鄉,23.29727,120.50283,confirmed_wgs84,位在關子嶺風景區內之大凍山南側，海拔約有490公尺，為全台灣三大土地公廟之一。此外，也是全台唯一供奉三界(天界、地界、人界)土地公的土地公廟。因其神威顯赫，分靈在全台各地的福德正神有多達四萬餘尊，名氣與信眾可與知名的屏東車城及新北市烘爐地土...,AttractionList.json[AttractionID=Attraction_395000000A_001331],none,False,excluded,religious_temple_facility: 實體為宮廟或宗教信仰文化設施，非水域潛點。,2026-09-24T23:55:00+08:00
pt-tour-rev-007,4989,Attraction_A13020000G_000142,屏東：鮮饌道海洋食品文化館,屏東縣,林邊鄉,22.431677,120.495504,confirmed_wgs84,【評鑑有效期間：2025/09/23~2028/09/22】   		第一座以鱈魚香絲為主題的海洋食品文化館，除了参觀四十多年來海產品的加工演進，文化館緊鄰大鵬灣國家風景區，是一個適合觀光、休閒、旅遊、教學、文化的地方。政益食品海洋鮮味文化...,AttractionList.json[AttractionID=Attraction_A13020000G_000142],none,False,excluded,terrestrial_or_cultural_facility: 實體為遊客中心、海鮮街、紀念碑、展館或陸域觀光設施，無潛水活動定義。,2026-09-24T23:55:00+08:00
pt-tour-rev-008,5314,Attraction_A15010400H_000427,東隆宮,屏東縣,東港鎮,22.46314,120.4485,confirmed_wgs84,東隆宮、朝隆宮與福安宮為東港著名三大宮廟，各有祭祀主神，其中以東隆宮的溫王爺為東港人重要的心靈寄託，與東港鎮文化習俗發展環環相扣。王爺又稱為「千歲」，王爺由來的傳說不一，相傳為唐太宗時期護駕有功，遇難殉海的溫鴻，民間習俗是視溫王爺為海神或者...,AttractionList.json[AttractionID=Attraction_A15010400H_000427],none,False,excluded,religious_temple_facility: 實體為宮廟或宗教信仰文化設施，非水域潛點。,2026-09-24T23:55:00+08:00
pt-tour-rev-009,5315,Attraction_A15010400H_000428,人工溼地公園,屏東縣,東港鎮,22.45104,120.4557,confirmed_wgs84,大鵬灣擺脫了過去軍事用途背景與蚵田遍域的歲月，目前朝向水上觀光遊憩活動發展。然欲推動水上遊憩活動，首先要考量水質夠好否。有鑑於此，鵬管處投入大量心力長期做水質監測。為改善水質，並兼顧恢復當地原有濕地景觀，具體作法就是利用環灣周遭已經廢養的魚...,AttractionList.json[AttractionID=Attraction_A15010400H_000428],none,False,excluded,wetland_ecological_park: 實體為滯洪濕地或紅樹林生態公園，非水域潛水地點。,2026-09-24T23:55:00+08:00
pt-tour-rev-010,5316,Attraction_A15010400H_000429,大鵬灣遊客中心,屏東縣,東港鎮,22.45642,120.4788,confirmed_wgs84,大鵬灣遊客中心擁有豐富的自然、人文生態資源，想要深入了解大鵬灣，可以至大鵬灣國家風景區管理處設立的「遊客中心」。在這裡，您可以到多媒體簡報廳欣賞旅遊影片，透過影片介紹欣賞本區豐富的自然資源、遊憩資訊與人文歷史，讓大家更容易了解大鵬灣豐富的遊...,AttractionList.json[AttractionID=Attraction_A15010400H_000429],none,False,excluded,terrestrial_or_cultural_facility: 實體為遊客中心、海鮮街、紀念碑、展館或陸域觀光設施，無潛水活動定義。,2026-09-24T23:55:00+08:00
