candidate_id,site_id,site_name,evidence_type,taxon_scientific_name,taxon_chinese_name,taxon_group,survey_method,record_date,original_station_or_locality,original_latitude,original_longitude,distance_m,source_name,source_dataset_id,source_url,license_name,license_status,decision,justification
CAND-SL-RC-01,tourism-attraction-376540000a-000365,石朗潛水區,historical_visual_survey,Chaetodontidae,蝶魚科,魚類,Reef Check 水下穿越線目視計數 (Belt Transect),2018-04-23,石朗(Shihlang),22.654828,121.473514,148.5,台灣珊瑚礁學會 / TaiBIF 台灣珊瑚礁體檢 (Reef Check Taiwan),reefcheck_taiwan_dwca:event_2018_TTLudao_Shihlang_deep_50-70,https://ipt.taibif.tw/resource?r=reefcheck_taiwan,CC BY-NC 4.0,cc_by_nc_4_0,accepted_historical_visual_evidence,測線距潛點 148.5m；具明確觀測時點與穿越線目視方法。受 CC BY-NC 4.0 限制僅供非商業研究模式，且屬歷史調查紀錄，不得描述為現場必然可見之生態現況。
CAND-SL-RC-02,tourism-attraction-376540000a-000365,石朗潛水區,historical_visual_survey,Scaridae,鸚哥魚科,魚類,Reef Check 水下穿越線目視計數 (Belt Transect),2018-04-23,石朗(Shihlang),22.654828,121.473514,148.5,台灣珊瑚礁學會 / TaiBIF 台灣珊瑚礁體檢 (Reef Check Taiwan),reefcheck_taiwan_dwca:event_2018_TTLudao_Shihlang_deep_0-20,https://ipt.taibif.tw/resource?r=reefcheck_taiwan,CC BY-NC 4.0,cc_by_nc_4_0,accepted_historical_visual_evidence,測線距潛點 148.5m；具明確目視指標計數紀錄。限非商業研究模式使用，不得表述為目前現況。
CAND-SL-RC-03,tourism-attraction-376540000a-000365,石朗潛水區,historical_visual_survey,Tridacna sp.,砗磲貝屬,無脊椎動物,Reef Check 水下穿越線無脊椎目視計數,2018-04-23,石朗(Shihlang),22.654828,121.473514,148.5,台灣珊瑚礁學會 / TaiBIF 台灣珊瑚礁體檢 (Reef Check Taiwan),reefcheck_taiwan_dwca:event_2018_TTLudao_Shihlang_deep_0-20,https://ipt.taibif.tw/resource?r=reefcheck_taiwan,CC BY-NC 4.0,cc_by_nc_4_0,accepted_historical_visual_evidence,測線距潛點 148.5m；記錄到健康砗磲貝個體。限非商業研究模式，不得保證現地可見。
CAND-SL-RC-04,tourism-attraction-376540000a-000365,石朗潛水區,historical_visual_survey,Scleractinia (hard coral),硬珊瑚/石珊瑚覆蓋度,珊瑚,Reef Check 點截線底質覆蓋度調查 (Point Intercept Transect),2018-04-23,石朗(Shihlang),22.654828,121.473514,148.5,台灣珊瑚礁學會 / TaiBIF 台灣珊瑚礁體檢 (Reef Check Taiwan),reefcheck_taiwan_dwca:measurementorfact.txt,https://ipt.taibif.tw/resource?r=reefcheck_taiwan,CC BY-NC 4.0,cc_by_nc_4_0,accepted_historical_visual_evidence,距潛點 148.5m 之底質覆蓋度量測；非單一物種目擊，為底質群落歷史指標。僅限非商業研究使用，不得表述為現況。
CAND-SL-EDNA-01,tourism-attraction-376540000a-000365,石朗潛水區,environmental_dna,Acanthurus lineatus,線紋刺尾鯛,魚類,水樣抽濾與次世代定序 (12S eDNA metabarcoding),2022-06-28,TRM59,22.654467,121.472817,228.6,海洋委員會海洋保育署 (OCA) 全海域基礎生態調查環境DNA,edna_diving_110_113.json:TRM59,https://data.gov.tw/dataset/172487,政府資料開放授權條款-第1版 (OGL 1.0),open_government_license,accepted_historical_dna_evidence,採樣站距潛點 228.6m；為水體環境 DNA 檢出分子訊號。嚴禁表述為潛水時肉眼必然可見或保證存在該個體。
CAND-SL-EDNA-02,tourism-attraction-376540000a-000365,石朗潛水區,environmental_dna,Amphiprion clarkii,克氏雙鋸魚,魚類,水樣抽濾與次世代定序 (12S eDNA metabarcoding),2022-06-28,TRM59,22.654467,121.472817,228.6,海洋委員會海洋保育署 (OCA) 全海域基礎生態調查環境DNA,edna_diving_110_113.json:TRM59,https://data.gov.tw/dataset/172487,政府資料開放授權條款-第1版 (OGL 1.0),open_government_license,accepted_historical_dna_evidence,距潛點 228.6m 水樣中偵測出小丑魚基因分子片段。僅證明歷史水樣訊號，不等同肉眼可見。
CAND-SL-TAX-01,tourism-attraction-376540000a-000365,石朗潛水區,taxonomic_catalog,Chaetodon speculum,鏡斑蝴蝶魚,魚類,分類學名錄整編 (無空間座標/無調查日期),,全臺魚類分類名錄(無地名),,,,中央研究院生物多樣性研究中心 臺灣魚類資料庫,臺灣魚類資料庫.csv,https://fishdb.sinica.edu.tw/,TaiBIF / TaiCoL 授權條款待確認,pending_verification,excluded_taxonomy_only,分類名錄不具空間座標與現場調查日期，僅能作物種名稱標準化與中英文對照，不得作為該潛點現地出現紀錄。
CAND-SL-IMG-01,tourism-attraction-376540000a-000365,石朗潛水區,monitoring_site_media,Scleractinia spp.,珊瑚礁群落 (監測站影像),珊瑚,定點水下生態攝影 (海域生態監測站),,綠島北岸(珊瑚礁),22.6772,121.4925,3012.3,國家海洋研究院 (NAMR) 海域生態監測站點圖資,海域生態監測站點/36_綠島北岸(珊瑚礁).jpg,https://nodass.namr.gov.tw/noapidata/Tile/eDNA/mecrcPoint/36_綠島北岸(珊瑚礁).jpg,著作權未確認 (版權保留),copyright_unclear_or_reserved,pending_rights_review,距離潛點 3.01 km 且影像著作權未確認開放。嚴禁下載、複製、快取或內嵌至地圖中。
CAND-NL-RC-01,tourism-attraction-376540000a-000367,綠島南寮漁港,historical_visual_survey,Chaetodontidae,蝶魚科,魚類,Reef Check 水下穿越線目視計數,2018-04-23,石朗(Shihlang),22.654828,121.473514,357.0,台灣珊瑚礁學會 / TaiBIF 台灣珊瑚礁體檢 (Reef Check Taiwan),reefcheck_taiwan_dwca:event_2018_TTLudao_Shihlang_deep_50-70,https://ipt.taibif.tw/resource?r=reefcheck_taiwan,CC BY-NC 4.0,cc_by_nc_4_0,excluded_unrelated_habitat,測線位於石朗外礁（距漁港 357.1m）。南寮漁港為防波堤、碼頭與航道之人造港區，港池內部無珊瑚礁測線；嚴禁將鄰近外礁生態冒稱為漁港內部現況。
CAND-NL-RC-02,tourism-attraction-376540000a-000367,綠島南寮漁港,historical_visual_survey,Scleractinia (hard coral),硬珊瑚/石珊瑚覆蓋度,珊瑚,Reef Check 點截線底質覆蓋度調查,2018-04-23,石朗(Shihlang),22.654828,121.473514,357.0,台灣珊瑚礁學會 / TaiBIF 台灣珊瑚礁體檢 (Reef Check Taiwan),reefcheck_taiwan_dwca:measurementorfact.txt,https://ipt.taibif.tw/resource?r=reefcheck_taiwan,CC BY-NC 4.0,cc_by_nc_4_0,excluded_unrelated_habitat,港區內部無珊瑚礁底質覆蓋度紀錄；不可將 357.1m 外石朗珊瑚礁測線數據套用至人造碼頭與泊船區。
CAND-NL-EDNA-01,tourism-attraction-376540000a-000367,綠島南寮漁港,environmental_dna,Acanthurus lineatus,線紋刺尾鯛,魚類,水樣抽濾與次世代定序 (12S eDNA metabarcoding),2022-06-28,TRM59,22.654467,121.472817,419.6,海洋委員會海洋保育署 (OCA) 全海域基礎生態調查環境DNA,edna_diving_110_113.json:TRM59,https://data.gov.tw/dataset/172487,政府資料開放授權條款-第1版 (OGL 1.0),open_government_license,accepted_historical_dna_evidence,取樣點 TRM59 位於漁港西南外海約 419.6m，反映周邊近岸水體之環境 DNA 分子訊號；不可宣稱為港池內肉眼可見物種。
CAND-NL-TAX-01,tourism-attraction-376540000a-000367,綠島南寮漁港,taxonomic_catalog,Sphyraena barracuda,巴拉金梭魚,魚類,分類學名錄整編 (無空間座標/無調查日期),,全臺魚類分類名錄(無地名),,,,中央研究院生物多樣性研究中心 臺灣魚類資料庫,臺灣魚類資料庫.csv,https://fishdb.sinica.edu.tw/,TaiBIF / TaiCoL 授權條款待確認,pending_verification,excluded_taxonomy_only,分類名錄無點位與調查紀錄，排除作為潛點生態事實。
