assessment_date,source_id,source_name,provider,official_product_url,public_catalog_url,data_type,available_fields,units_or_direction,time_resolution_and_update,source_time_fields,geographic_representation,license_and_public_reuse,access_or_rate_note,dive_site_id,dive_site_name,site_county,site_district,nearest_station_grid_or_region,distance_m,coverage_relation,meets_spatial_representativeness,public_use_status,conclusion,risks_and_required_manual_check
2026-09-19,cwa_m_b0078_001,"生活氣象－海水浴場、休閒漁港、海釣之波流模式預報資料（M-B0078-001）",交通部中央氣象署,https://opendata.cwa.gov.tw/dataset/observation/M-B0078-001,https://data.gov.tw/dataset/126373,"數值模式位置預報（非現地觀測）","示性波高、浪向、週期、流向、流速、位置代碼／名稱／座標、有效時間","m；原始 16 方位文字；s；m/s","每 6 小時更新；本專案既有快照逐列 3 小時","IssueTime（發布批次）；sent；DateTime（預報有效時間）；本地 retrieved_at","產品發布位置；原始檔未明示原生格網、完整有效海域或座標基準","政府資料開放授權條款第 1 版（政府資料開放平臺資料集頁）；公開時須保留來源與授權標示","官方目錄指向下載／會員流程；本次未下載新檔、未測試速率限制",tourism-attraction-376540000a-000365,石朗潛水區,臺東縣,綠島鄉,"22.65000, 121.45000（既有快照最近發布位置）",2598.7,"在已發布位置外框內；最近位置距離超過既有保守規則",no,"可公開再利用，但不具本專案對此代表點的空間適用性","不可用於此潛點的公開海況","不得因 OGL 或產品名稱放寬 1 km／局部半間距規則；需 CWA 提供原生 CRS、格網／有效海域或不同具明確近岸代表點的官方產品。"
2026-09-19,cwa_m_b0078_001,"生活氣象－海水浴場、休閒漁港、海釣之波流模式預報資料（M-B0078-001）",交通部中央氣象署,https://opendata.cwa.gov.tw/dataset/observation/M-B0078-001,https://data.gov.tw/dataset/126373,"數值模式位置預報（非現地觀測）","示性波高、浪向、週期、流向、流速、位置代碼／名稱／座標、有效時間","m；原始 16 方位文字；s；m/s","每 6 小時更新；本專案既有快照逐列 3 小時","IssueTime（發布批次）；sent；DateTime（預報有效時間）；本地 retrieved_at","產品發布位置；原始檔未明示原生格網、完整有效海域或座標基準","政府資料開放授權條款第 1 版（政府資料開放平臺資料集頁）；公開時須保留來源與授權標示","官方目錄指向下載／會員流程；本次未下載新檔、未測試速率限制",tourism-attraction-376540000a-000367,綠島南寮漁港,臺東縣,綠島鄉,"22.65000, 121.45000（既有快照最近發布位置）",2662.5,"在已發布位置外框內；最近位置距離超過既有保守規則",no,"可公開再利用，但不具本專案對此代表點的空間適用性","不可用於此潛點的公開海況","同上；不得把產品位置或有效時間當成潛點現場值。"
2026-09-19,cwa_m_b0078_001,"生活氣象－海水浴場、休閒漁港、海釣之波流模式預報資料（M-B0078-001）",交通部中央氣象署,https://opendata.cwa.gov.tw/dataset/observation/M-B0078-001,https://data.gov.tw/dataset/126373,"數值模式位置預報（非現地觀測）","示性波高、浪向、週期、流向、流速、位置代碼／名稱／座標、有效時間","m；原始 16 方位文字；s；m/s","每 6 小時更新；本專案既有快照逐列 3 小時","IssueTime（發布批次）；sent；DateTime（預報有效時間）；本地 retrieved_at","產品發布位置；原始檔未明示原生格網、完整有效海域或座標基準","政府資料開放授權條款第 1 版（政府資料開放平臺資料集頁）；公開時須保留來源與授權標示","官方目錄指向下載／會員流程；本次未下載新檔、未測試速率限制",tourism-attraction-376540000a-000478,柴口浮潛區,臺東縣,綠島鄉,"22.70000, 121.47500（既有快照最近發布位置）",2634.7,"在已發布位置外框內；最近位置距離超過既有保守規則",no,"可公開再利用，但不具本專案對此代表點的空間適用性","不可用於此潛點的公開海況","同上；不得以鄰近格點推估、插值或補值。"
2026-09-19,cwa_m_b0078_001,"生活氣象－海水浴場、休閒漁港、海釣之波流模式預報資料（M-B0078-001）",交通部中央氣象署,https://opendata.cwa.gov.tw/dataset/observation/M-B0078-001,https://data.gov.tw/dataset/126373,"數值模式位置預報（非現地觀測）","示性波高、浪向、週期、流向、流速、位置代碼／名稱／座標、有效時間","m；原始 16 方位文字；s；m/s","每 6 小時更新；本專案既有快照逐列 3 小時","IssueTime（發布批次）；sent；DateTime（預報有效時間）；本地 retrieved_at","產品發布位置；原始檔未明示原生格網、完整有效海域或座標基準","政府資料開放授權條款第 1 版（政府資料開放平臺資料集頁）；公開時須保留來源與授權標示","官方目錄指向下載／會員流程；本次未下載新檔、未測試速率限制",tourism-attraction-a15010100h-000067,大白沙,臺東縣,綠島鄉,"22.62500, 121.47500（既有快照最近發布位置）",2364.1,"在已發布位置外框內；最近位置距離超過既有保守規則",no,"可公開再利用，但不具本專案對此代表點的空間適用性","不可用於此潛點的公開海況","同上；不得把產品位置的模式結果稱為現地量測。"
2026-09-19,cwa_m_b0078_001,"生活氣象－海水浴場、休閒漁港、海釣之波流模式預報資料（M-B0078-001）",交通部中央氣象署,https://opendata.cwa.gov.tw/dataset/observation/M-B0078-001,https://data.gov.tw/dataset/126373,"數值模式位置預報（非現地觀測）","示性波高、浪向、週期、流向、流速、位置代碼／名稱／座標、有效時間","m；原始 16 方位文字；s；m/s","每 6 小時更新；本專案既有快照逐列 3 小時","IssueTime（發布批次）；sent；DateTime（預報有效時間）；本地 retrieved_at","產品發布位置；原始檔未明示原生格網、完整有效海域或座標基準","政府資料開放授權條款第 1 版（政府資料開放平臺資料集頁）；公開時須保留來源與授權標示","官方目錄指向下載／會員流程；本次未下載新檔、未測試速率限制",tourism-attraction-a15010200h-000004,險礁嶼,澎湖縣,白沙鄉,"23.70000, 119.62000（既有快照最近發布位置）",1792.8,"在已發布位置外框內；最近位置距離超過既有保守規則",no,"可公開再利用，但不具本專案對此代表點的空間適用性","不可用於此潛點的公開海況","同上；距離雖是五點中最短，仍超過規則，不能例外。"
2026-09-19,cwa_coastal_township_3day,"鄉鎮沿海未來 3 天逐 3 小時天氣預報（F-D0047-095）",交通部中央氣象署,https://opendata.cwa.gov.tw/dataset/forecast/F-D0047-095,https://opendata.cwa.gov.tw/opendatadoc/Forecast/F-D0047-095_096.pdf,"沿海代表區的模式／天氣預報（非現地觀測）","天氣現象、風向／風速、波高／浪向／週期、流向／流速、雲量；產品亦含潮汐欄位但本評估不納入","m/s、m、s、原始方向文字；以官方欄位文件為準","3 小時預報、72 小時；產品目錄／文件標示每 6 小時更新","IssueTime、各預報時間；實作前須以實際回應確認時區與欄位完整性","120 個沿海代表區；官方文件稱臺灣沿海 10 km 延伸區與離島特別代表區","本次僅查得 CWA 產品頁與欄位文件，未查得本產品對公開 API／展示／快取／再發布的明確 OGL 條款","需要 CWA 平台會員／授權流程；本次未下載、未呼叫端點",tourism-attraction-376540000a-000365,石朗潛水區,臺東縣,綠島鄉,"未以正式資料列核對的綠島沿海代表區",,"產品文件指出離島有特別代表區；本次無可回查的正式位置代碼／座標對應",unclear,"權利與點位對應均待確認","暫緩","先取得產品的正式 locationCode、名稱、座標／區域界線與當期公開授權；不得以文件概述自動對應。"
2026-09-19,cwa_coastal_township_3day,"鄉鎮沿海未來 3 天逐 3 小時天氣預報（F-D0047-095）",交通部中央氣象署,https://opendata.cwa.gov.tw/dataset/forecast/F-D0047-095,https://opendata.cwa.gov.tw/opendatadoc/Forecast/F-D0047-095_096.pdf,"沿海代表區的模式／天氣預報（非現地觀測）","天氣現象、風向／風速、波高／浪向／週期、流向／流速、雲量；產品亦含潮汐欄位但本評估不納入","m/s、m、s、原始方向文字；以官方欄位文件為準","3 小時預報、72 小時；產品目錄／文件標示每 6 小時更新","IssueTime、各預報時間；實作前須以實際回應確認時區與欄位完整性","120 個沿海代表區；官方文件稱臺灣沿海 10 km 延伸區與離島特別代表區","本次僅查得 CWA 產品頁與欄位文件，未查得本產品對公開 API／展示／快取／再發布的明確 OGL 條款","需要 CWA 平台會員／授權流程；本次未下載、未呼叫端點",tourism-attraction-376540000a-000367,綠島南寮漁港,臺東縣,綠島鄉,"未以正式資料列核對的綠島沿海代表區",,"同上",unclear,"權利與點位對應均待確認","暫緩","同上。"
2026-09-19,cwa_coastal_township_3day,"鄉鎮沿海未來 3 天逐 3 小時天氣預報（F-D0047-095）",交通部中央氣象署,https://opendata.cwa.gov.tw/dataset/forecast/F-D0047-095,https://opendata.cwa.gov.tw/opendatadoc/Forecast/F-D0047-095_096.pdf,"沿海代表區的模式／天氣預報（非現地觀測）","天氣現象、風向／風速、波高／浪向／週期、流向／流速、雲量；產品亦含潮汐欄位但本評估不納入","m/s、m、s、原始方向文字；以官方欄位文件為準","3 小時預報、72 小時；產品目錄／文件標示每 6 小時更新","IssueTime、各預報時間；實作前須以實際回應確認時區與欄位完整性","120 個沿海代表區；官方文件稱臺灣沿海 10 km 延伸區與離島特別代表區","本次僅查得 CWA 產品頁與欄位文件，未查得本產品對公開 API／展示／快取／再發布的明確 OGL 條款","需要 CWA 平台會員／授權流程；本次未下載、未呼叫端點",tourism-attraction-376540000a-000478,柴口浮潛區,臺東縣,綠島鄉,"未以正式資料列核對的綠島沿海代表區",,"同上",unclear,"權利與點位對應均待確認","暫緩","同上。"
2026-09-19,cwa_coastal_township_3day,"鄉鎮沿海未來 3 天逐 3 小時天氣預報（F-D0047-095）",交通部中央氣象署,https://opendata.cwa.gov.tw/dataset/forecast/F-D0047-095,https://opendata.cwa.gov.tw/opendatadoc/Forecast/F-D0047-095_096.pdf,"沿海代表區的模式／天氣預報（非現地觀測）","天氣現象、風向／風速、波高／浪向／週期、流向／流速、雲量；產品亦含潮汐欄位但本評估不納入","m/s、m、s、原始方向文字；以官方欄位文件為準","3 小時預報、72 小時；產品目錄／文件標示每 6 小時更新","IssueTime、各預報時間；實作前須以實際回應確認時區與欄位完整性","120 個沿海代表區；官方文件稱臺灣沿海 10 km 延伸區與離島特別代表區","本次僅查得 CWA 產品頁與欄位文件，未查得本產品對公開 API／展示／快取／再發布的明確 OGL 條款","需要 CWA 平台會員／授權流程；本次未下載、未呼叫端點",tourism-attraction-a15010100h-000067,大白沙,臺東縣,綠島鄉,"未以正式資料列核對的綠島沿海代表區",,"同上",unclear,"權利與點位對應均待確認","暫緩","同上。"
2026-09-19,cwa_coastal_township_3day,"鄉鎮沿海未來 3 天逐 3 小時天氣預報（F-D0047-095）",交通部中央氣象署,https://opendata.cwa.gov.tw/dataset/forecast/F-D0047-095,https://opendata.cwa.gov.tw/opendatadoc/Forecast/F-D0047-095_096.pdf,"沿海代表區的模式／天氣預報（非現地觀測）","天氣現象、風向／風速、波高／浪向／週期、流向／流速、雲量；產品亦含潮汐欄位但本評估不納入","m/s、m、s、原始方向文字；以官方欄位文件為準","3 小時預報、72 小時；產品目錄／文件標示每 6 小時更新","IssueTime、各預報時間；實作前須以實際回應確認時區與欄位完整性","120 個沿海代表區；官方文件稱臺灣沿海 10 km 延伸區與離島特別代表區","本次僅查得 CWA 產品頁與欄位文件，未查得本產品對公開 API／展示／快取／再發布的明確 OGL 條款","需要 CWA 平台會員／授權流程；本次未下載、未呼叫端點",tourism-attraction-a15010200h-000004,險礁嶼,澎湖縣,白沙鄉,"未以正式資料列核對的澎湖沿海代表區",,"同上",unclear,"權利與點位對應均待確認","暫緩","同上。"
