dataset_id,file_identifier,expected_path,exists,expected_sha256,expected_size_bytes,required_for,source_url,acquisition_method,license_or_retrieval_limit,recovery_type,safe_verification,missing_impact
vocational_diving_exam,09800職業潛水丙級試題.pdf,data/raw/provided/09800職業潛水丙級試題.pdf,yes,91360444e2fe99e9fd10e810f9071f59cc6fe6746d78275d5c894f5e7dd32aa0,,fts,,user-provided,user-provided; verify before redistribution,requires_user_source_confirmation,SHA-256 against raw_file_manifest.tsv,FTS source corpus and source-governed retrieval
untracked_manifest_entry,110年職業潛水丙級試題頁.jpg,data/raw/provided/110年職業潛水丙級試題頁.jpg,yes,be6b98f4cabd118f82a203049338239a32625a72f815e0de2f7362937c3e3ef4,,not_required_for_current_build,,user-provided,manifest provenance only; source terms need confirmation,requires_user_source_confirmation,SHA-256 against raw_file_manifest.tsv,no current structured or FTS build dependency
untracked_manifest_entry,113年職業潛水丙級試題頁.jpg,data/raw/provided/113年職業潛水丙級試題頁.jpg,yes,23c16fcaccb3494b5730d6f146449b258faa7f541d566e40e18ac5303a561e66,,not_required_for_current_build,,user-provided,manifest provenance only; source terms need confirmation,requires_user_source_confirmation,SHA-256 against raw_file_manifest.tsv,no current structured or FTS build dependency
dangerous_waters_report,危險海域劃設原則研究報告.pdf,data/raw/provided/危險海域劃設原則研究報告.pdf,yes,aa434a3c06b6599e3b19fe61cf42558beb2e5a1cfff34d599d9e4a86ac289c30,,fts,,user-provided,user-provided; verify before redistribution,requires_user_source_confirmation,SHA-256 against raw_file_manifest.tsv,FTS source corpus and source-governed retrieval
user_research_plan,研究規劃原始文件.docx,data/raw/provided/研究規劃原始文件.docx,yes,2acf0a7bc91a4949ae7cdd4d02c47751ed12bceed308a48dadb98f257abdfc5a,,fts,,user-provided,user-provided; verify before redistribution,requires_user_source_confirmation,SHA-256 against raw_file_manifest.tsv,FTS source corpus and source-governed retrieval
untracked_manifest_entry,蒲福風級與風速浪高對照.jpg,data/raw/provided/蒲福風級與風速浪高對照.jpg,yes,3f7809abc62f3e6c08f63e2f3cc1bc56189016495a47d965735f406326647722,,not_required_for_current_build,,user-provided,manifest provenance only; source terms need confirmation,requires_user_source_confirmation,SHA-256 against raw_file_manifest.tsv,no current structured or FTS build dependency
kenting_wave_control,墾丁浪高管制標準.pdf,data/raw/provided/墾丁浪高管制標準.pdf,yes,529bfc791fc4c7c6f38468590860fe2a60734690e55ed6e78d6bad72cd961113,,fts,,user-provided,user-provided; verify before redistribution,requires_user_source_confirmation,SHA-256 against raw_file_manifest.tsv,FTS source corpus and source-governed retrieval
untracked_manifest_entry,visual_notes.md,data/raw/provided/visual_notes.md,yes,3e6171b54f984ffb25e56f7eed6689ff47411afd363cfb34db050bc391e6a5dd,,fts,,derived-from-user-provided-images,manifest provenance only; source terms need confirmation,requires_user_source_confirmation,SHA-256 against raw_file_manifest.tsv,FTS source corpus and source-governed retrieval
cmas_global_standards,cmas_global_training_catalog.html,data/raw/external/cmas_global_training_catalog.html,yes,bdfbae0dda86150c71c54be89ace0f584f874dd71d72b36ce8853b74fcc127e1,,fts,https://www.cmas.org/standards.html,web-download,"CMAS states standards are its exclusive property; link and cite, do not copy/modify",public_redownload_possible,SHA-256 against raw_file_manifest.tsv,FTS source corpus and source-governed retrieval
cmas_tw_safety,cmas_tw_diving_safety_rules.html,data/raw/external/cmas_tw_diving_safety_rules.html,yes,2c3e705dc25522e11b228cee805219b60d8a3f7bebf1bdf95307f7fbe88ea980,,fts,https://www.cmas.tw/modules/neilmfdcms/mfdcmscenter.php?centerid=132,web-download,webpage snapshot; do not republish without permission,requires_user_source_confirmation,SHA-256 against raw_file_manifest.tsv,FTS source corpus and source-governed retrieval
