review_id,official_attraction_id,original_name,original_latitude,original_longitude,official_county,official_district,source_product_url,source_record_locator,source_archive_sha256,source_archive_update_at,source_record_updated_at,meets_strict_conditions,review_decision,import_site_id,direct_support_field,direct_support_summary,exclusion_reason,coordinate_check,reviewed_at,license_attribution_note
"tourism-review-001","Attraction_376540000A_000365","石朗潛水區",22.65577,121.47454,"臺東縣","綠島鄉","https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip","AttractionList.json::Attractions[AttractionID=Attraction_376540000A_000365]","0D9421DF5FD44674F387F117ED7BE7450E91FAE6D1548353913E60285137F404","2026-09-18T14:30:03+08:00","2026-06-23T17:13:21+08:00","yes","imported","tourism-attraction-376540000a-000365","AttractionName;Description","名稱直接標示為潛水區；Description 亦直接將石朗海域描述為潛水地點。","","pass_wgs84_decimal_taiwan_extent","2026-09-18","政府資料開放授權條款第1版；公開時標示交通部觀光署、2026、景點－觀光資訊資料庫（觀光資料標準V2.1）。"
"tourism-review-002","Attraction_376540000A_000367","綠島南寮漁港",22.65791,121.47449,"臺東縣","綠島鄉","https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip","AttractionList.json::Attractions[AttractionID=Attraction_376540000A_000367]","0D9421DF5FD44674F387F117ED7BE7450E91FAE6D1548353913E60285137F404","2026-09-18T14:30:03+08:00","2026-06-23T16:26:30+08:00","yes","imported","tourism-attraction-376540000a-000367","Description","Description 直接將該筆名稱所指的南寮漁港描述為綠島的潛水點之一。","","pass_wgs84_decimal_taiwan_extent","2026-09-18","政府資料開放授權條款第1版；公開時標示交通部觀光署、2026、景點－觀光資訊資料庫（觀光資料標準V2.1）。"
"tourism-review-003","Attraction_376540000A_000478","柴口浮潛區",22.67739,121.48268,"臺東縣","綠島鄉","https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip","AttractionList.json::Attractions[AttractionID=Attraction_376540000A_000478]","0D9421DF5FD44674F387F117ED7BE7450E91FAE6D1548353913E60285137F404","2026-09-18T14:30:03+08:00","2026-06-23T16:25:38+08:00","yes","imported","tourism-attraction-376540000a-000478","AttractionName;Description","名稱直接標示為浮潛區；Description 亦說明該處已規劃為浮潛區。","","pass_wgs84_decimal_taiwan_extent","2026-09-18","政府資料開放授權條款第1版；公開時標示交通部觀光署、2026、景點－觀光資訊資料庫（觀光資料標準V2.1）。"
"tourism-review-004","Attraction_376540000A_001315","綠島豆丁海馬海底郵筒(綠島海底世界)",22.65519,121.47316,"臺東縣","綠島鄉","https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip","AttractionList.json::Attractions[AttractionID=Attraction_376540000A_001315]","0D9421DF5FD44674F387F117ED7BE7450E91FAE6D1548353913E60285137F404","2026-09-18T14:30:03+08:00","2026-06-23T16:24:55+08:00","no","excluded","","Description","Description 提到郵筒位於另一個具名浮潛區並描述潛水活動。","該筆的資料實體是海底郵筒；文字指向另一地點，不能把郵筒代表點當作潛點。","pass_wgs84_decimal_taiwan_extent","2026-09-18","政府資料開放授權條款第1版；本筆未匯入。"
"tourism-review-005","Attraction_382000000A_109680","白沙灣海水浴場",25.28418,121.51718,"新北市","石門區","https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip","AttractionList.json::Attractions[AttractionID=Attraction_382000000A_109680]","0D9421DF5FD44674F387F117ED7BE7450E91FAE6D1548353913E60285137F404","2026-09-18T14:30:03+08:00","2022-12-05T08:08:35+08:00","no","excluded","","Description","Description 將潛水列在多項水上活動中。","一般活動列舉不等於直接把該筆定義為潛水地點。","pass_wgs84_decimal_taiwan_extent","2026-09-18","政府資料開放授權條款第1版；本筆未匯入。"
"tourism-review-006","Attraction_A15010100H_000066","石朗",22.65583,121.47453,"臺東縣","綠島鄉","https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip","AttractionList.json::Attractions[AttractionID=Attraction_A15010100H_000066]","0D9421DF5FD44674F387F117ED7BE7450E91FAE6D1548353913E60285137F404","2026-09-18T14:30:03+08:00","2025-05-06T17:35:43+08:00","yes","passed_not_imported","","Description","Description 直接稱石朗為具名浮潛地點。","與同一官方產品內名稱更明確且更新較新的「石朗潛水區」紀錄可能重疊；無正式 crosswalk 前不合併也不重複匯入。","pass_wgs84_decimal_taiwan_extent","2026-09-18","政府資料開放授權條款第1版；通過內容條件但本批未匯入。"
"tourism-review-007","Attraction_A15010100H_000067","大白沙",22.63722,121.49385,"臺東縣","綠島鄉","https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip","AttractionList.json::Attractions[AttractionID=Attraction_A15010100H_000067]","0D9421DF5FD44674F387F117ED7BE7450E91FAE6D1548353913E60285137F404","2026-09-18T14:30:03+08:00","2025-05-06T17:36:21+08:00","yes","imported","tourism-attraction-a15010100h-000067","Description","Description 直接稱大白沙為綠島的浮潛地點之一。","","pass_wgs84_decimal_taiwan_extent","2026-09-18","政府資料開放授權條款第1版；公開時標示交通部觀光署、2026、景點－觀光資訊資料庫（觀光資料標準V2.1）。"
"tourism-review-008","Attraction_A15010100H_000167","柴口浮潛區",22.67792,121.48278,"臺東縣","綠島鄉","https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip","AttractionList.json::Attractions[AttractionID=Attraction_A15010100H_000167]","0D9421DF5FD44674F387F117ED7BE7450E91FAE6D1548353913E60285137F404","2026-09-18T14:30:03+08:00","2025-05-06T18:17:05+08:00","yes","passed_not_imported","","AttractionName;Description","名稱及 Description 均直接標示為浮潛區。","同一官方產品已有同名且更新較新的紀錄；第一批保留較新紀錄，不以兩筆代表點位建立重複潛點。","pass_wgs84_decimal_taiwan_extent","2026-09-18","政府資料開放授權條款第1版；通過內容條件但本批未匯入。"
"tourism-review-009","Attraction_A15010100H_000213","綠島遊客中心",22.66859,121.4689,"臺東縣","綠島鄉","https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip","AttractionList.json::Attractions[AttractionID=Attraction_A15010100H_000213]","0D9421DF5FD44674F387F117ED7BE7450E91FAE6D1548353913E60285137F404","2026-09-18T14:30:03+08:00","2026-01-01T20:09:12+08:00","no","excluded","","Description","Description 的潛水描述主詞是綠島整體。","該筆代表遊客中心，不能把對綠島的概括描述轉成遊客中心潛點。","pass_wgs84_decimal_taiwan_extent","2026-09-18","政府資料開放授權條款第1版；本筆未匯入。"
"tourism-review-010","Attraction_A15010200H_000004","險礁嶼",23.7118,119.608,"澎湖縣","白沙鄉","https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip","AttractionList.json::Attractions[AttractionID=Attraction_A15010200H_000004]","0D9421DF5FD44674F387F117ED7BE7450E91FAE6D1548353913E60285137F404","2026-09-18T14:30:03+08:00","2023-10-30T15:40:08+08:00","yes","imported","tourism-attraction-a15010200h-000004","Description","Description 直接將險礁嶼描述為具名浮潛地點。","","pass_wgs84_decimal_taiwan_extent","2026-09-18","政府資料開放授權條款第1版；公開時標示交通部觀光署、2026、景點－觀光資訊資料庫（觀光資料標準V2.1）。"
"tourism-review-011","Attraction_A15010200H_000037","青灣仙人掌公園",23.52568,119.56693,"澎湖縣","馬公市","https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip","AttractionList.json::Attractions[AttractionID=Attraction_A15010200H_000037]","0D9421DF5FD44674F387F117ED7BE7450E91FAE6D1548353913E60285137F404","2026-09-18T14:30:03+08:00","2026-02-03T16:02:26+08:00","no","excluded","","Description","Description 提到公園旁的潛水中心。","店家或設施存在不等於該景點本身是潛水地點。","pass_wgs84_decimal_taiwan_extent","2026-09-18","政府資料開放授權條款第1版；本筆未匯入。"
"tourism-review-012","Attraction_A15010200H_000044","龍門濱海園區",23.57737,119.66151,"澎湖縣","湖西鄉","https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip","AttractionList.json::Attractions[AttractionID=Attraction_A15010200H_000044]","0D9421DF5FD44674F387F117ED7BE7450E91FAE6D1548353913E60285137F404","2026-09-18T14:30:03+08:00","2025-10-02T17:19:07+08:00","no","excluded","","Description","Description 的浮潛文字指向另一個具名沙灘。","活動地點不是本筆景點，不能把本筆代表點位移作該沙灘的位置。","pass_wgs84_decimal_taiwan_extent","2026-09-18","政府資料開放授權條款第1版；本筆未匯入。"
"tourism-review-013","Attraction_A15010200H_000062","牛母坪",23.20878,119.43534,"澎湖縣","七美鄉","https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip","AttractionList.json::Attractions[AttractionID=Attraction_A15010200H_000062]","0D9421DF5FD44674F387F117ED7BE7450E91FAE6D1548353913E60285137F404","2026-09-18T14:30:03+08:00","2023-02-07T14:45:33+08:00","no","excluded","","Description","Description 將浮潛列在多項可進行活動中。","活動列舉不足以直接定義為浮潛地點。","pass_wgs84_decimal_taiwan_extent","2026-09-18","政府資料開放授權條款第1版；本筆未匯入。"
"tourism-review-014","Attraction_A15010200H_000068","西嶼坪嶼",23.25972,119.51667,"澎湖縣","望安鄉","https://media.taiwan.net.tw/XMLReleaseAll_public/v2.0/Zh_tw/Attraction-json.zip","AttractionList.json::Attractions[AttractionID=Attraction_A15010200H_000068]","0D9421DF5FD44674F387F117ED7BE7450E91FAE6D1548353913E60285137F404","2026-09-18T14:30:03+08:00","2026-08-25T12:02:32+08:00","no","excluded","","Description","Description 使用浮潛者天堂的宣傳性比喻。","宣傳性比喻沒有明確把同一名稱與代表點位定義為浮潛地點；依嚴格門檻排除。","pass_wgs84_decimal_taiwan_extent","2026-09-18","政府資料開放授權條款第1版；本筆未匯入。"
